task	protocol	MEG	CI_lower	CI_upper	p_value	mean_Q	baseline_Q	best_baseline	mean_hidden_raw	baseline_hidden_raw	n_cells
bench-erdos-overlap	magicore	-0.0534	-0.3633	0.2618	0.6000	0.3266	0.3800	self-refine	0.3424	0.2779	5
bench-erdos-overlap	debate	-0.2379	-0.5209	0.0944	0.9120	0.1421	0.3800	self-refine	0.7038	0.2779	5
bench-erdos-overlap	moa	0.1173	-0.1678	0.3756	0.2140	0.4972	0.3800	self-refine	0.2955	0.2779	10
bench-graph-coloring-g80	single-shot	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	1e+30	4.0000000000000004e+29	5
bench-graph-coloring-g80	self-refine	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	4.0000000000000004e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	best-of-n	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	2.0000000000000002e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	vgs	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	6.0000000000000005e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	homo-chain	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	4.0000000000000004e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	cross-chain	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	4.0000000000000004e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	magicore	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	4.0000000000000004e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	debate	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	6.0000000000000005e+29	4.0000000000000004e+29	5
bench-graph-coloring-g80	moa	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	self-refine	2.0000000000000002e+29	4.0000000000000004e+29	5
bench-tsp-50	single-shot	-0.0896	-0.1337	-0.0393	0.9870	0.0549	0.1445	vgs	24307.9286	22525.0446	5
