model	term	estimate	ci_lo	ci_hi	sigma2	tau2	loglik
random_intercept	intercept	0.18245821091868886	0.06414071464491375	0.30077570719246394	0.06031644252007871	0.004900542798565964	-9.973426220942002
random_intercept	diversity	0.18817525153122666	0.06388750861580898	0.3124629944466443	0.06031644252007871	0.004900542798565964	-9.973426220942002
random_intercept	synthesis	-0.009603926233219756	-0.13389166914863745	0.11468381668219794	0.06031644252007871	0.004900542798565964	-9.973426220942002
random_intercept	diversity:synthesis	0.04615014493580409	-0.1296192667319202	0.22191955660352836	0.06031644252007871	0.004900542798565964	-9.973426220942002
